pratiquer	to practice
courir	to run
le jogging	jogging
le vélo	cycling
le VTT	mountain biking
le ski	skiing
le ski nautique	waterskiing
le surf	surfboarding
le patinage	skating
la marche à pied	hiking
la gymnastique	gymnastics
l'équitation (f)	horseback riding
la natation	swimming
la voile	sailing
la planche à voile	windsurfing
le roller	in line skating
le skate	skateboarding
lever	to raise
plier	to bend
le corps	body
un doigt	finger
la main	hand
le bras	arm
l'épaule (f)	shoulder
le coeur	heart
le ventre	stomach
l'estomac (m)	stomach
le dos	back
la jambe	leg
le genou	knee
le pied	foot
la tête	head
la figure	face
les cheveux (m)	hair
n oeil (les yeux)	eyes
le nez	nose
une oreille	ear
la bouche	mouth
une dent	teeth
le cou	neck
en forme	in shape
en bonne santé	healthy
sentir	to feel
Je me sens ...	I feel
mieux	better
malade	sick
fatigué(e)	tired
la grippe	flu
un rhume	cold
J'ai mal à la tête	I have a headache
J'ai mal au ventre	I have a stomachache
J'ai mal au dos	I have a sore back
J'ai mal aux oreilles	I have an earache
souvent	often
quelquefois	sometimes
de temps en temps	from time to time
parfois	occasionally
rarement	seldom, rarely
ne ... presque jamais	almost, never
à mon avis	in my opinion
selon moi	according to me
d'après moi	according to me
je pense que	I think
je trouve que	I find 
je crois que	I believe
croire	to believe
se réveiller	to wake up
se lever	to get up
se laver	to wash
s'habiller	to get dressed
se promener	to go for a walk
se reposer	to rest
se coucher	to go to bed
une brosse à dents	toothbrush
un peigne	comb
une brosse à cheveux	hairbrush
du shampooing	shampoo
du rouge à lèvres	lipstick
du dentifrice	toothpaste
du savon	soap
un rasoir	razor
se laver (les cheveux)	to wash
se brosser (les dents)	to brush
se maquiller	to put on make-up
se peigner	to comb 
se raser	to shave
s'amuser	to have fun
s'arrêter	to stop
se dépêcher	to hurry
s'excuser	to apologize
se souvenir (de)	to remember
se taire	to be quiet
s'asseoir	to sit down
